timestamp,X,Y,Z
1764346966511,5.502000,-11.335951,-1.261050
1764346966521,5.926050,-12.385051,-1.680000
1764346966531,6.388050,-13.561050,-2.299950
1764346966541,6.937950,-14.824951,-3.078000
1764346966551,7.687950,-16.243950,-3.472950
1764346966561,8.121000,-17.044050,-3.973050
1764346966571,7.546051,-16.969952,-5.070000
1764346966581,5.667000,-15.708001,-9.106951
1764346966591,2.800950,-13.618051,-17.461950
1764346966601,2.956950,-13.956000,-12.103951
1764346966611,3.868950,-14.305051,-3.981000
1764346966621,2.947050,-14.152051,-1.093050
1764346966631,1.891050,-13.651051,-2.286000
1764346966640,1.543950,-12.841950,-4.312950
1764346966650,1.993950,-11.836950,-3.882000
1764346966660,2.928000,-10.359000,-2.203950
1764346966670,3.558000,-9.190950,-1.740000
1764346966680,3.816000,-8.437051,-1.072050
1764346966690,3.804000,-8.322001,0.904950
1764346966700,3.984000,-9.138000,2.653050
1764346966710,5.935050,-10.585051,3.546000
1764346966720,7.237950,-11.371950,2.419950
1764346966730,8.368051,-11.575951,1.948950
1764346966740,8.569051,-11.358001,1.618050
1764346966750,8.419950,-11.073001,0.832950
1764346966760,8.416050,-10.339951,0.880950
1764346966770,8.419950,-9.411000,1.258950
1764346966780,7.654050,-8.806050,-1.006950
1764346966790,7.864950,-8.341050,-2.080050
1764346966800,7.630050,-6.780000,0.129000
1764346966810,6.448050,-5.005950,1.839000
1764346966820,5.878050,-3.415950,-0.235950
1764346966830,5.728951,-2.515950,-1.144050
1764346966839,5.935050,-2.479950,-1.057050
1764346966849,5.250000,-2.487000,-1.651050
1764346966859,4.530000,-1.812000,-1.452000
1764346966869,4.702050,-1.671000,-1.596000
1764346966879,4.804950,-1.443000,-1.833000
1764346966889,5.205000,-1.768950,-2.350050
1764346966899,5.181000,-1.378950,-2.317050
1764346966909,4.936950,-1.045950,-1.900050
1764346966919,4.566000,-1.228050,-1.191000
1764346966929,4.447950,-1.968000,-1.597950
1764346966939,4.470000,-2.700000,-1.081050
1764346966949,4.578000,-3.256050,-0.523050
1764346966959,4.803000,-3.807000,-0.330000
1764346966969,4.980000,-4.465050,-0.483000
1764346966979,4.912950,-5.089950,-0.448950
1764346966989,5.169000,-6.093000,-0.459000
1764346966999,5.004000,-6.759000,-0.781950
1764346967009,4.647000,-7.573050,-0.660000
1764346967019,3.931050,-8.607000,-0.583050
1764346967028,3.697050,-10.228050,-1.596000
1764346967038,4.017000,-13.254001,-8.329050
1764346967048,0.736950,-15.790051,-20.865002
1764346967058,-10.893001,-18.820951,-15.372001
1764346967068,-15.372001,-17.227951,-11.817000
1764346967078,-7.648951,-17.008051,-14.752050
1764346967088,-0.952050,-15.825001,-16.150051
1764346967098,-0.009000,-14.298000,-12.430051
1764346967108,0.952950,-13.347001,-6.067950
1764346967118,5.575950,-11.905951,-3.078000
1764346967128,6.507000,-11.242950,-3.030000
1764346967138,6.843000,-9.562051,-0.126000
1764346967148,8.614051,-7.495950,-1.371000
1764346967158,11.557051,-6.471000,-5.062950
1764346967168,13.513051,-5.398950,-5.266050
1764346967178,13.419001,-5.290950,-2.518050
1764346967188,12.471001,-6.435000,2.224050
1764346967198,12.055051,-8.029950,3.385050
1764346967208,10.477051,-9.583950,3.748950
1764346967217,8.290951,-10.429050,2.209950
1764346967227,7.116000,-11.362950,-0.643050
1764346967237,6.925951,-12.402000,-2.379000
1764346967247,7.233000,-13.410001,-3.303000
1764346967257,6.778050,-13.525051,-3.669000
1764346967267,5.887050,-12.603001,-3.628950
1764346967277,4.599000,-10.707001,-2.875050
1764346967287,3.211050,-8.848950,-1.717950
1764346967297,2.230950,-7.728000,-1.195950
1764346967307,1.567950,-6.763051,-0.961950
1764346967317,1.149000,-5.947050,-0.673950
1764346967327,0.991050,-5.217000,-0.531000
1764346967337,0.907050,-4.467000,-0.861000
1764346967347,0.886050,-3.720000,-1.291950
1764346967357,1.161000,-3.367950,-0.978000
1764346967367,1.731000,-3.402000,-0.664950
1764346967377,1.783950,-3.088050,-0.705000
1764346967387,2.113950,-3.061950,-0.703050
1764346967397,2.349000,-3.400050,0.306000
1764346967407,2.542950,-3.403950,0.205950
1764346967416,2.818050,-3.471000,-0.040050
1764346967426,3.181950,-3.796950,0.153000
1764346967436,3.601050,-4.362000,0.354000
1764346967446,3.960000,-5.188050,0.354000
1764346967456,4.276050,-6.097950,0.342000
1764346967466,4.513050,-6.969000,0.292050
1764346967476,4.705050,-7.783051,0.226950
1764346967486,4.846050,-8.515950,-0.088050
1764346967496,4.870050,-9.106951,-0.576000
1764346967506,4.839000,-9.603001,-1.162950
1764346967516,4.924950,-10.120050,-1.519050
1764346967526,5.044950,-10.747050,-1.948050
1764346967536,5.404050,-11.578051,-2.688000
